% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=271117, Mon Jul  9 19:00:10 2018
1 10 -0.07140965523160078 -0.003502358493619854 0.0011738512903499282 0.05080122031931533 1 1 1 1 1 1 1 1
2 20 -0.1298153562207729 -0.003496780405720885 0.01401731756130565 0.12311354265621882 1 1 1 1 1 1 1 1
3 30 -0.15500879486559255 -0.00029230852014195205 0.007643493205619299 0.11791675247791995 1 1 1 1 1 1 1 1
4 40 -0.12220657230727888 -0.002765401228856461 0.005239006757052688 0.16139530875928323 1 1 1 1 1 1 1 1
5 50 -0.15509813154600557 -0.005133860163968864 0.010768610816373285 0.15051978013043352 1 1 1 1 1 1 1 1
6 60 -0.15228990940266376 -0.004253670216907115 0.005194910111303284 0.1729527346379344 1 1 1 1 1 1 1 1
7 70 -0.23765701459825808 -0.02303860397769071 0.003938006227272738 0.2708816814526222 1 1 1 1 1 1 1 1
8 80 -0.23372591928562 -0.026348041745458944 0.00714668722985713 0.2768343261604693 1 1 1 1 1 1 1 1
9 90 -0.2432951228345885 -0.015801316118022577 0.007290444404225044 0.27546256864958424 1 1 1 1 1 1 1 1
10 100 -0.20978965457289298 -0.010555037932129278 0.015664869653839987 0.24685259057326256 1 1 1 1 1 1 1 1
11 110 -0.2289019337176829 -0.015298437893213777 0.005784730588836437 0.252215656923261 1 1 1 1 1 1 1 1
12 120 -0.23097560450222937 -0.009320169561612666 0.01834034275631936 0.22651572238744333 1 1 1 1 1 1 1 1
13 130 -0.22942925921529564 -0.01880359254114785 0.007244783409313855 0.264731766723548 1 1 1 1 1 1 1 1
14 140 -0.2511116007540047 -0.012533154220181687 0.007850622787325033 0.24934985256205577 1 1 1 1 1 1 1 1
15 150 -0.2736344224808388 -0.01109366109496578 0.013324669173267727 0.29914724520041075 1 1 1 1 1 1 1 1
16 160 -0.32384458441770514 -0.010150828825866775 0.0016567080356782904 0.33384057310005844 1 1 1 1 1 1 1 1
17 170 -0.3185899355158718 -0.014887317149990194 0.021743784869802572 0.4048986739848909 1 1 1 1 1 1 1 1
18 180 -0.3025555069140413 -0.008459365337965024 0.006081199877265593 0.42397833784442496 1 1 1 1 1 1 1 1
19 190 -0.35885090901359 -0.0002469190757037783 0.015384420790759922 0.4304348545132608 1 1 1 1 1 1 1 1
20 200 -0.35902843805234785 -0.005190586015454837 0.004802890119480503 0.4054122625794754 1 1 1 1 1 1 1 1
21 210 -0.3555502374343324 -0.014900412191571557 0.0019632207750862555 0.41103827497508355 1 1 1 1 1 1 1 1
22 220 -0.4042163635166263 -0.002660641075095802 0.003982234059610085 0.445313202660692 1 1 1 1 1 1 1 1
23 230 -0.3881371195532187 -0.00022232268002870238 0.0006924915691678872 0.4871650588913202 1 1 1 1 1 1 1 1
24 240 -0.3889774170661981 -0.012442797922156367 0.0028543242689854868 0.4235280456060062 1 1 1 1 1 1 1 1
25 250 -0.3874519276212142 -0.00759960231882016 0.004848915416714899 0.43525870125532606 1 1 1 1 1 1 1 1
26 260 -0.33637162765309464 -0.012920293404565995 0.024649136422224622 0.4442151467677271 1 1 1 1 1 1 1 1
27 270 -0.34513079247834566 -0.06383983099975446 0.015006239756235659 0.4521967291331252 1 1 1 1 1 1 1 1
